fen,target
1r6/1P6/8/8/k7/8/2K5/1R6 w - - 0 1,checkmate
r7/4K2k/8/8/8/8/p7/R7 w - - 0 1,draw
r7/8/8/1K6/8/8/p3k3/R7 w - - 0 1,draw
K7/2p3N1/8/k5p1/8/8/8/8 w - - 0 1,draw
2R5/8/8/8/r7/8/2K5/k7 w - - 0 1,checkmate
1K6/5p2/8/Pk6/8/8/8/8 w - - 0 1,draw
8/8/8/8/8/5p1p/8/4K2k w - - 0 1,draw
6K1/7r/1P1P3k/8/8/8/8/8 w - - 0 1,draw
8/8/8/4K3/p7/2pN4/2k5/8 w - - 0 1,draw
8/8/8/2p5/8/8/1kP5/3K4 w - - 0 1,draw
8/8/8/1K3p2/4k3/8/P7/8 w - - 0 1,draw
8/8/6p1/R5K1/4k2P/8/p7/r7 w - - 0 1,draw
8/8/1p6/2k5/P3K3/8/8/8 w - - 0 1,draw
8/7K/k1P5/p7/8/8/8/8 w - - 0 1,draw
8/7K/8/8/3N4/4k3/p7/8 w - - 0 1,draw
8/5p2/8/8/1K1k4/8/1P6/8 w - - 0 1,draw
8/5P2/3K4/8/8/1k6/8/q7 w - - 0 1,draw
8/4K3/8/3b4/1p6/2k5/8/3B4 w - - 0 1,draw
1r6/8/8/1P6/1K6/8/2k5/8 w - - 0 1,draw
8/1p6/8/8/8/7K/1P3k2/8 w - - 0 1,draw
8/1p6/1P6/8/7K/8/8/1k6 w - - 0 1,draw
8/8/8/4p3/8/4P3/1k5K/8 w - - 0 1,draw
7k/8/5P1p/8/8/8/K7/8 w - - 0 1,draw
7K/7P/8/8/8/5q2/2k5/8 w - - 0 1,draw
6K1/8/8/4q3/Q7/8/1p6/1k6 w - - 0 1,draw
6K1/8/6k1/8/8/p7/P7/8 w - - 0 1,draw
4K3/8/4k3/7p/8/8/7P/8 w - - 0 1,draw
1r6/R7/8/8/8/8/4p1K1/4k3 w - - 0 1,draw
3K4/8/5p2/8/Pk6/8/8/8 w - - 0 1,draw
2K3N1/8/8/8/1pp4k/8/8/8 w - - 0 1,draw
r7/4K2k/5P2/8/8/8/8/3R4 w - - 0 1,checkmate
R7/8/8/6K1/pk6/8/8/8 w - - 0 1,checkmate
Q7/8/8/3K4/8/8/pk6/8 w - - 0 1,checkmate
K7/2rp4/8/2p3P1/8/8/5R2/7k w - - 0 1,checkmate
K6k/1R6/8/8/4p3/3p4/8/8 w - - 0 1,checkmate
B1k1b3/4P1K1/8/8/8/8/8/8 w - - 0 1,checkmate
1K6/6p1/8/5k2/8/8/R7/8 w - - 0 1,checkmate
8/p7/8/8/1K6/4k3/2P5/8 w - - 0 1,checkmate
8/P7/1n2K3/8/8/8/8/7k w - - 0 1,checkmate
8/KQ6/8/8/8/8/p7/k7 w - - 0 1,checkmate
8/K7/BP6/k7/4b3/8/8/8 w - - 0 1,checkmate
